game_id,home_team,away_team,home_avg_pts,away_avg_pts,home_avg_reb,away_avg_reb,home_win
0022300055,Atlanta Hawks,Cleveland Cavaliers,123.5625,110.76470588235294,44.9375,44.23529411764706,0
0022300056,Miami Heat,Milwaukee Bucks,109.82352941176471,120.3529411764706,41.35294117647059,43.76470588235294,0
0022300057,Charlotte Hornets,New York Knicks,114.13333333333334,109.6875,45.0,46.75,0
0022300058,Minnesota Timberwolves,Oklahoma City Thunder,113.375,119.5625,45.0625,41.25,1
0022300059,Dallas Mavericks,Houston Rockets,119.4375,109.64285714285714,42.4375,44.07142857142857,1
0022300060,Golden State Warriors,Sacramento Kings,114.17647058823529,115.53333333333333,46.411764705882355,43.46666666666667,0
0022300076,Los Angeles Lakers,Phoenix Suns,107.0,108.0,44.0,60.0,1
0022300077,Charlotte Hornets,Detroit Pistons,116.0,102.0,51.0,56.0,0
0022300078,Denver Nuggets,Memphis Grizzlies,119.0,104.0,42.0,37.0,1
0022300079,Atlanta Hawks,New York Knicks,110.0,104.0,42.0,47.0,0
0022300080,Boston Celtics,Miami Heat,108.0,103.0,46.0,48.0,1
0022300081,Cleveland Cavaliers,Oklahoma City Thunder,114.0,124.0,38.0,43.0,0
0022300082,Chicago Bulls,Toronto Raptors,104.0,97.0,42.0,47.0,1
0022300083,Houston Rockets,San Antonio Spurs,86.0,119.0,31.0,45.0,0
0022300084,Brooklyn Nets,Dallas Mavericks,113.0,126.0,50.0,48.0,0
0022300085,LA Clippers,Utah Jazz,123.0,114.0,45.0,54.0,0
0022300086,Orlando Magic,Portland Trail Blazers,116.0,111.0,57.0,40.0,1
0022300087,Golden State Warriors,Sacramento Kings,104.0,130.0,49.0,45.0,1
0022300088,Chicago Bulls,Detroit Pistons,104.0,106.5,47.0,54.5,0
0022300089,Memphis Grizzlies,Washington Wizards,104.0,120.0,42.5,45.0,0
0022300090,New Orleans Pelicans,New York Knicks,111.0,115.0,52.0,46.0,1
0022300091,Cleveland Cavaliers,Indiana Pacers,109.5,143.0,43.0,51.0,0
0022300092,Philadelphia 76ers,Toronto Raptors,117.0,100.0,39.0,50.0,1
0022300093,Miami Heat,Minnesota Timberwolves,107.0,94.0,46.5,62.0,0
0022300094,Phoenix Suns,Utah Jazz,101.5,117.0,54.5,49.5,1
0022300095,Denver Nuggets,Oklahoma City Thunder,113.5,116.0,41.0,45.0,1
0022300096,Golden State Warriors,Houston Rockets,113.0,104.0,44.0,37.0,1
0022300097,Atlanta Hawks,Milwaukee Bucks,115.0,118.0,43.0,43.0,1
0022300098,Philadelphia 76ers,Portland Trail Blazers,115.5,104.0,40.5,43.5,1
0022300099,LA Clippers,San Antonio Spurs,120.5,122.5,40.5,44.0,1
0022300100,Los Angeles Lakers,Sacramento Kings,103.5,122.0,43.0,43.0,0
0022300101,Brooklyn Nets,Charlotte Hornets,116.5,107.5,48.5,46.0,1
0022300102,Chicago Bulls,Indiana Pacers,103.33333333333333,134.0,42.333333333333336,49.5,1
0022300103,Boston Celtics,Washington Wizards,113.5,116.5,50.5,45.0,1
0022300104,Atlanta Hawks,Minnesota Timberwolves,119.0,100.0,44.0,54.5,1
0022300105,Portland Trail Blazers,Toronto Raptors,102.0,102.33333333333333,43.0,47.0,1
0022300106,Dallas Mavericks,Memphis Grizzlies,125.5,104.66666666666667,44.0,43.333333333333336,1
0022300107,Miami Heat,Milwaukee Bucks,101.33333333333333,114.0,45.0,41.0,0
0022300108,Golden State Warriors,New Orleans Pelicans,110.66666666666667,103.5,45.666666666666664,47.5,1
0022300109,Detroit Pistons,Oklahoma City Thunder,110.33333333333333,109.0,54.0,39.666666666666664,0
0022300110,Denver Nuggets,Utah Jazz,118.33333333333333,112.66666666666667,43.333333333333336,48.0,1
0022300111,Los Angeles Lakers,Orlando Magic,111.33333333333333,109.0,46.333333333333336,51.0,1
0022300112,Cleveland Cavaliers,New York Knicks,110.66666666666667,105.66666666666667,45.666666666666664,50.333333333333336,0
0022300113,Phoenix Suns,San Antonio Spurs,109.66666666666667,109.33333333333333,49.333333333333336,41.666666666666664,0
0022300114,LA Clippers,Orlando Magic,121.33333333333333,107.0,43.0,48.666666666666664,1
